1,6
2,2
3,2
4,6
5,6
6,2
7,6
8,6
9,6
10,6
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,5
22,5
23,5
24,5
25,5
26,5
27,5
28,5
29,5
30,5
31,8
32,8
33,8
34,8
35,8
36,8
37,8
38,8
39,8
40,8
41,7
42,7
43,7
44,7
45,7
46,7
47,7
48,7
49,7
50,7
51,4
52,4
53,4
54,4
55,4
56,4
57,4
58,4
59,4
60,4
61,2
62,2
63,2
64,2
65,2
66,2
67,2
68,2
69,2
70,2
71,8
72,8
73,8
74,8
75,8
76,8
77,8
78,8
79,8
80,8
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,2
92,2
93,2
94,2
95,2
96,2
97,2
98,2
99,2
100,2
101,6
102,6
103,6
104,6
105,6
106,6
107,6
108,6
109,6
110,6
111,2
112,2
113,2
114,2
115,2
116,2
117,2
118,2
119,2
120,2
121,3
122,3
123,3
124,3
125,3
126,3
127,3
128,3
129,3
130,3
131,1
132,1
133,1
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,2
142,2
143,2
144,2
145,2
146,2
147,2
148,2
149,2
150,2
