1,12
2,2
3,11
4,12
5,10
6,10
7,9
8,1
9,5
10,12
11,6
12,5
13,4
14,3
15,12
16,2
17,8
18,4
19,2
20,2
21,7
22,12
23,3
24,7
25,3
26,7
27,3
28,10
29,8
30,2
31,11
32,7
33,7
34,8
35,4
36,10
37,5
38,11
39,3
40,3
41,4
42,3
43,1
44,4
45,5
46,7
47,9
48,10
49,6
50,2
51,10
52,7
53,11
54,1
55,8
56,11
57,10
58,7
59,12
60,7
61,1
62,8
63,8
64,6
65,1
66,4
67,3
68,2
69,11
70,11
71,1
72,4
73,11
74,9
75,1
76,1
77,3
78,6
79,1
80,8
81,6
82,3
83,1
84,12
85,5
86,12
87,3
88,4
89,10
90,2
91,1
92,3
93,4
94,9
95,5
96,6
97,8
98,4
99,5
100,7
101,11
102,10
103,2
104,10
105,7
106,10
107,10
108,5
109,12
110,10
111,10
112,10
113,7
114,8
115,1
